epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,4436.23,1.05064,1.32185,1.01499,0.00659,0.68856,0.6453,0.66219,0.68266,0.47196,0.64382,0.6633,0.68194,0.47649,0.95414,1.03622,0.87943,0.00978,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4622.15,1.04494,1.32561,1.00788,0.00653,0.6709,0.72583,0.68445,0.72105,0.49716,0.72343,0.66998,0.71114,0.49979,0.92232,1.02743,0.79424,0.00936,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4810.47,1.03988,1.31468,0.99692,0.00653,0.67266,0.66463,0.65287,0.69078,0.48092,0.671,0.6559,0.69118,0.48944,0.93349,1.02789,0.89013,0.00955,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4998.72,1.04022,1.30999,0.98615,0.00641,0.678,0.63641,0.62778,0.64952,0.45741,0.64949,0.6292,0.65736,0.46351,0.95268,1.06589,0.98363,0.00978,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5189.31,1.02799,1.28934,0.9702,0.00637,0.65432,0.70984,0.67285,0.7164,0.48994,0.71195,0.67765,0.71457,0.49237,0.94493,1.02774,0.8254,0.00971,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5378.63,1.02855,1.2898,0.97193,0.00641,0.66621,0.65963,0.62641,0.66445,0.48033,0.67312,0.62998,0.66617,0.47458,0.91354,1.01709,0.90069,0.00941,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5567.5,1.02824,1.29098,0.96101,0.00635,0.64566,0.72785,0.68521,0.72335,0.51706,0.72837,0.6844,0.7256,0.51402,0.90615,0.99211,0.78885,0.00921,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5755.15,1.02421,1.28879,0.9553,0.00635,0.65117,0.68914,0.67373,0.70913,0.49812,0.6966,0.6662,0.70928,0.49587,0.91179,1.00841,0.81492,0.00926,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5942.81,1.0238,1.2906,0.95631,0.00628,0.64383,0.7157,0.66262,0.71036,0.50326,0.70973,0.66758,0.71057,0.49665,0.90702,1.00923,0.83232,0.00931,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6132.28,1.02002,1.28551,0.94985,0.00627,0.64303,0.71752,0.66196,0.70515,0.49218,0.71239,0.66915,0.71155,0.49269,0.91209,1.01487,0.84249,0.00935,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6319.51,1.00851,1.27122,0.93935,0.00626,0.63244,0.70784,0.70268,0.73127,0.52048,0.71447,0.70697,0.73616,0.51318,0.88166,0.98814,0.74621,0.00888,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
